Date,Close/Last,Volume,Open,High,Low
9/9/2019,$294.34 ,8232744,$294.81 ,$301.55 ,$290.60 
9/6/2019,$290.17 ,5166556,$293.35 ,$293.35 ,$287.03 
9/5/2019,$293.25 ,8972356,$285.32 ,$293.97 ,$282.79 
9/4/2019,$291.52 ,4653665,$291.25 ,$292.38 ,$286.51 
9/3/2019,$289.29 ,3684177,$290.82 ,$293.90 ,$288.06 
8/30/2019,$293.75 ,4447990,$298.78 ,$298.94 ,$290.85 
8/29/2019,$296.78 ,4392532,$295 ,$299.93 ,$294.99 
8/28/2019,$291.77 ,3958043,$289.47 ,$292.82 ,$287.75 
8/27/2019,$291.03 ,6314559,$294.54 ,$296.77 ,$287.20 
8/26/2019,$294.98 ,4696982,$295.24 ,$296.95 ,$292.50 
8/23/2019,$291.44 ,6331189,$295 ,$299.01 ,$290.32 
8/22/2019,$296.93 ,4977042,$298.65 ,$300.33 ,$293.15 
8/21/2019,$297.81 ,5689746,$301.61 ,$302.88 ,$296.20 
8/20/2019,$298.99 ,7352162,$304.57 ,$305 ,$297.68 
8/19/2019,$309.38 ,4951733,$306.25 ,$311.75 ,$304.75 
8/16/2019,$302.80 ,7090757,$298.86 ,$303.55 ,$296.27 
8/15/2019,$295.76 ,9683384,$299.50 ,$300.63 ,$288 
8/14/2019,$299.11 ,7355753,$308.01 ,$308.41 ,$298.01 
8/13/2019,$312.28 ,5338761,$309.77 ,$316.43 ,$308.16 
8/12/2019,$310.83 ,6531722,$305.46 ,$312.89 ,$303.24 
8/9/2019,$308.93 ,5349059,$313.74 ,$316.64 ,$305.68 
8/8/2019,$315.90 ,5905865,$311.03 ,$316.36 ,$306.63 
8/7/2019,$304.29 ,9322433,$302.56 ,$305 ,$296.81 
8/6/2019,$310.10 ,6179090,$310.58 ,$311.88 ,$305.30 
8/5/2019,$307.63 ,8692485,$310.96 ,$313.42 ,$304.68 
8/2/2019,$318.83 ,6280343,$317.49 ,$319.41 ,$311.80 
8/1/2019,$319.50 ,6563156,$324.25 ,$328.58 ,$318.74 
7/31/2019,$322.99 ,6259494,$325.16 ,$331.77 ,$318.53 
7/30/2019,$325.93 ,6029320,$329.20 ,$329.65 ,$323.23 
7/29/2019,$332.70 ,5782817,$335.98 ,$336.40 ,$328.77 
7/26/2019,$335.78 ,10847500,$328.79 ,$336 ,$327.50 
7/25/2019,$326.46 ,10798500,$318.86 ,$327.69 ,$316.30 
7/24/2019,$317.94 ,11961820,$310.51 ,$319.99 ,$307.25 
7/23/2019,$307.30 ,9171068,$311.44 ,$313.50 ,$306 
7/22/2019,$310.62 ,17725330,$312 ,$314.54 ,$305.81 
7/19/2019,$315.10 ,16302480,$323.40 ,$325.85 ,$314.23 
7/18/2019,$325.21 ,31305900,$323.76 ,$329.85 ,$320.30 
7/17/2019,$362.44 ,13639540,$366.25 ,$366.50 ,$361.75 
7/16/2019,$365.99 ,5863222,$370.09 ,$371.34 ,$364.92 
7/15/2019,$366.60 ,7944680,$372.94 ,$373.68 ,$362.30 
7/12/2019,$373.25 ,6636937,$378.68 ,$379.74 ,$372.79 
7/11/2019,$379.50 ,4336287,$381.10 ,$384.54 ,$378.80 
7/10/2019,$381 ,5878790,$382.77 ,$384.34 ,$377.40 
7/9/2019,$379.93 ,6932822,$379.06 ,$384.76 ,$377.50 
7/8/2019,$376.16 ,3113402,$378.19 ,$378.25 ,$375.36 
7/5/2019,$380.55 ,3732162,$378.29 ,$381.40 ,$375.56 
7/3/2019,$381.72 ,3799009,$376.69 ,$381.99 ,$375.84 
7/2/2019,$375.43 ,3628962,$374.89 ,$376 ,$370.31 
7/1/2019,$374.60 ,5001518,$373.50 ,$376.66 ,$372 
6/28/2019,$367.32 ,4592706,$370.26 ,$371.54 ,$364.87 
6/27/2019,$370.02 ,4138575,$363.20 ,$370.85 ,$363.20 
6/26/2019,$362.20 ,3669677,$361.60 ,$366.79 ,$361.60 
6/25/2019,$360.30 ,5750383,$370.75 ,$371.00 ,$358.29 
6/24/2019,$371.04 ,4830240,$370.27 ,$375 ,$370.20 
6/21/2019,$369.21 ,7448356,$365 ,$371.45 ,$365 
6/20/2019,$365.21 ,5899467,$365.91 ,$370.12 ,$361.22 
6/19/2019,$363.52 ,5667156,$361.72 ,$364.74 ,$356.12 
6/18/2019,$357.12 ,5428542,$355.57 ,$361.50 ,$353.75 
